,City,Latitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,busselton,-33.65,57.0,48,33,20.0
1,diapaga,12.07,81.72,64,19,5.68
2,atuona,-9.8,79.7,72,0,17.74
3,east london,-33.02,63.9,37,0,6.91
4,chuy,-33.7,64.69,95,100,7.56
5,mataura,-46.19,39.0,83,96,3.0
6,ushuaia,-54.8,39.2,44,96,11.41
7,yar-sale,66.83,45.93,80,42,7.99
8,meadow lake,34.8,82.0,39,75,8.05
9,port lincoln,-34.73,49.24,81,1,9.64
10,khasan,42.43,67.91,89,14,10.27
11,jamestown,42.1,77.0,83,75,9.17
12,camacha,33.08,68.0,72,40,11.41
13,kaitangata,-46.28,37.99,77,39,8.01
14,vila franca do campo,37.72,66.2,72,40,4.7
15,yellowknife,62.46,66.99,93,90,9.17
16,geraldton,-28.77,59.0,93,90,1.12
17,chuchkovo,54.27,55.24,96,4,6.98
18,rikitea,-23.12,67.05,59,100,12.95
19,saryg-sep,51.5,53.47,90,2,2.04
20,sola,-13.88,78.22,78,47,18.77
21,new norfolk,-42.78,44.01,87,79,4.0
22,vaini,-21.2,75.2,73,75,5.82
23,kapaa,22.08,79.0,83,75,9.17
24,kodiak,57.79,66.2,45,20,18.34
25,lagoa,39.05,69.55,72,0,3.74
26,tucuman,-26.82,57.2,62,90,4.7
27,carauari,-4.88,79.43,62,48,2.15
28,hermanus,-34.42,52.0,92,0,1.01
29,ancud,-41.87,46.4,70,69,4.7
30,thompson,55.74,71.6,68,75,6.93
31,muravlenko,63.79,48.29,80,17,14.23
32,albany,42.6,84.0,69,78,2.39
33,saldanha,-33.01,53.6,87,0,3.36
34,qaqortoq,60.72,66.2,25,81,32.21
35,sept-iles,50.2,71.01,64,75,8.05
36,cidreira,-30.18,66.15,71,94,9.37
37,barrow,71.29,42.8,81,90,11.41
38,peace river,56.25,73.4,49,20,9.17
39,eskil,38.4,64.63,58,0,14.74
40,klaksvik,62.23,46.4,93,91,4.7
41,panaci,47.27,50.0,88,39,1.7
42,hobart,-42.88,44.6,75,75,8.05
43,punta arenas,-53.15,28.4,92,2,10.29
44,ugoofaaru,5.67,81.91,78,98,21.94
45,parauna,-16.95,72.1,36,0,4.25
46,vanimo,-2.67,82.51,70,3,5.61
47,norman wells,65.28,57.2,71,75,21.92
48,beidao,34.57,68.67,80,100,4.05
49,romitan,39.93,77.0,36,9,6.93
50,barcelona,41.39,79.0,78,20,2.24
51,bambanglipuro,-7.95,74.95,85,95,7.27
52,kakinada,16.93,79.74,85,100,4.65
53,noumea,-22.28,71.01,64,90,4.7
54,svarychiv,48.96,53.85,86,6,1.74
55,abha,18.22,71.6,49,31,5.55
56,nosy varika,-20.58,63.23,77,51,6.24
57,samarai,-10.62,77.65,82,18,11.21
58,port alfred,-33.59,63.43,63,0,9.66
59,pisco,-13.7,68.0,68,0,4.7
60,kudahuvadhoo,2.67,81.95,77,64,19.35
61,grindavik,63.84,50.0,81,75,6.93
62,puerto ayora,-0.74,69.01,91,83,10.0
63,dzhebariki-khaya,62.22,70.43,49,0,0.56
64,georgetown,5.41,77.0,94,20,5.82
65,codrington,-38.27,47.53,81,100,4.09
66,lompoc,34.64,68.0,64,3,13.87
67,muroto,33.28,78.8,88,75,1.12
68,biala podlaska,52.03,52.77,84,1,4.0
69,cherskiy,68.75,79.02,27,100,12.68
70,talaya,61.38,68.65,45,58,6.91
71,cape town,-33.93,55.99,100,0,2.24
72,upernavik,72.79,46.85,70,0,12.46
73,rock sound,24.9,83.59,78,94,17.58
74,landerneau,48.45,57.2,93,100,5.82
75,qaanaaq,77.48,47.91,53,0,0.94
76,longyearbyen,78.22,46.4,75,75,13.87
77,pevek,69.7,53.19,55,100,10.4
78,tubuala,9.52,82.4,78,75,6.93
79,port macquarie,-31.43,55.0,89,96,1.01
80,mount isa,-20.73,60.8,63,0,6.93
81,tiksi,71.69,53.24,80,78,4.47
82,bucerias,20.75,87.8,70,75,13.87
83,kloulklubed,7.04,77.0,88,75,7.11
84,victoria,22.29,84.99,79,55,3.0
85,atar,20.52,94.87,30,43,15.19
86,ewa beach,21.32,82.4,74,1,11.41
87,safaga,26.73,86.86,41,0,2.91
88,ballina,-28.87,55.4,82,90,8.05
89,mar del plata,-38.0,51.01,100,90,20.8
90,mattru,7.62,73.81,97,100,3.24
91,slave lake,55.28,69.8,73,20,2.24
92,castro,-24.79,59.31,75,98,2.17
93,poltavka,54.37,59.36,75,0,0.87
94,butaritari,3.07,83.48,76,70,14.92
95,ponta delgada,37.73,66.2,72,40,4.7
96,arraial do cabo,-22.97,69.8,88,40,2.24
97,canby,45.26,84.0,44,1,3.91
98,avarua,-21.21,77.0,94,5,12.75
99,bluff,-46.6,39.0,83,96,3.0
100,gat,31.61,77.0,63,0,1.72
101,bac lieu,9.29,80.47,78,100,1.23
102,beloha,-25.17,59.88,77,9,6.71
103,las palmas,28.42,73.4,83,7,12.75
104,yarensk,62.17,60.13,95,47,7.49
105,bethel,41.37,80.01,88,75,5.17
106,tasiilaq,65.61,41.0,86,30,5.82
107,rawson,-43.3,41.77,67,100,14.25
108,zapolyarnyy,69.42,51.8,93,75,17.22
109,hauterive,46.09,66.2,93,10,2.24
110,khatanga,71.97,47.28,80,100,16.02
111,iqaluit,63.75,46.4,100,90,2.24
112,moyamba,8.17,74.16,96,100,2.86
113,faanui,-16.48,77.23,78,23,17.58
114,caravelas,-17.71,68.34,69,0,2.8
115,sofiyivka,48.05,59.0,58,11,4.47
116,boa vista,2.82,77.0,83,20,4.7
117,touros,-5.2,77.0,78,75,8.05
118,madaoua,14.07,90.3,44,86,9.04
119,sarahan,31.52,56.55,66,56,1.7
120,sinnamary,5.38,78.28,86,98,8.55
121,nikolskoye,59.7,57.99,71,20,6.71
122,tabas,33.6,93.2,15,0,2.24
123,bubaque,11.28,80.73,82,99,11.95
124,chaman,30.92,74.48,31,0,11.18
125,twentynine palms,34.14,102.2,10,20,13.87
126,bodden town,19.28,87.8,74,20,5.82
127,airai,-8.93,56.88,54,85,4.47
128,jepelacio,-6.12,68.94,89,30,0.76
129,matagami,49.75,62.6,82,90,9.48
130,saskylakh,71.92,45.86,93,100,12.19
131,mastic beach,40.77,84.0,78,20,11.41
132,kavieng,-2.57,84.51,74,27,15.17
133,saint-philippe,-21.36,66.2,52,20,8.05
134,hailar,49.2,73.35,63,18,11.48
135,ponta do sol,32.67,69.01,72,2,2.98
136,katangli,51.71,50.34,93,100,11.9
137,murdochville,48.96,64.49,62,2,4.18
138,pamanukan,-6.28,74.01,89,51,3.33
139,porto novo,6.5,77.0,94,40,8.05
140,san cristobal,7.77,86.0,55,40,8.05
141,chokurdakh,70.63,85.98,37,64,6.38
142,tuktoyaktuk,69.45,46.4,75,75,11.41
143,srednekolymsk,67.45,81.0,31,86,8.32
144,tambura,5.6,67.21,97,100,3.09
145,lasa,46.62,61.0,87,75,5.82
146,alice springs,-23.7,39.2,56,0,4.7
147,carnarvon,-24.87,55.4,100,0,6.93
148,pokhara,28.23,69.98,80,44,0.96
149,savalou,7.93,73.13,95,100,7.74
150,ilulissat,69.22,53.6,58,40,3.36
151,staicele,57.84,48.0,92,1,1.01
152,mozarlandia,-14.74,76.55,33,0,4.23
153,dikson,73.51,39.85,92,52,8.14
154,okakarara,-20.58,43.25,57,0,3.56
155,hilo,19.73,86.0,55,1,11.41
156,baghdad,33.34,87.8,31,0,3.36
157,petersburg,37.23,86.0,55,75,18.34
158,bima,-8.47,74.79,83,64,5.75
159,lebu,-37.62,49.6,81,37,1.97
160,olafsvik,64.89,49.05,73,30,9.13
161,dingle,11.0,79.45,86,57,4.25
162,guerrero negro,27.98,76.23,57,4,15.39
163,salalah,17.02,78.8,94,90,10.29
164,selje,62.05,51.8,71,47,6.93
165,naze,28.37,82.4,88,75,3.36
166,dunedin,-45.87,44.01,63,2,11.99
167,nador,35.17,77.0,88,0,3.53
168,umm kaddadah,13.6,80.26,56,89,21.03
169,syava,58.01,57.15,96,77,2.51
170,cayenne,4.93,75.2,100,98,8.79
171,ostrovnoy,68.05,59.58,76,26,10.16
172,bluefield,37.27,82.4,58,40,5.82
173,luderitz,-26.65,66.2,34,0,3.36
174,mochishche,55.16,48.2,100,75,4.47
175,cleethorpes,53.56,63.0,77,78,8.05
176,niteroi,-22.88,75.2,64,0,8.05
177,bredasdorp,-34.53,57.2,93,0,1.12
178,sorland,67.67,52.56,82,100,15.84
179,northam,51.03,60.01,93,72,1.01
180,verkhnevilyuysk,63.45,62.94,80,0,5.39
181,pinawa,50.15,77.4,39,87,4.16
182,san quintin,30.48,70.74,69,12,16.15
183,cockburn town,21.46,86.0,66,40,17.22
184,severo-kurilsk,50.68,51.96,85,46,2.1
185,oyan,8.05,70.29,96,99,8.05
186,yinchuan,38.47,72.14,64,67,4.72
187,san patricio,19.22,86.0,74,75,17.22
188,kalmunai,7.42,79.18,80,99,13.89
189,quatre cocos,-20.21,69.8,68,75,11.41
190,oranjestad,12.52,86.0,70,20,21.92
191,arlit,18.74,93.6,31,28,12.08
192,hithadhoo,-0.6,83.32,70,49,5.53
193,cabo san lucas,22.89,91.99,69,40,19.46
194,rasra,25.85,85.17,75,55,3.31
195,jejuri,18.28,73.81,88,100,6.53
196,altamont,42.21,89.6,22,1,5.82
197,angermunde,53.02,59.0,61,99,2.68
198,pochutla,15.74,84.2,70,90,17.22
199,mahebourg,-20.41,69.8,68,75,11.41
200,eureka,40.8,66.0,31,56,1.99
201,ibirapitanga,-14.16,63.25,89,0,1.95
202,iraray,8.99,81.64,79,91,3.42
203,hamilton,39.18,82.99,83,1,4.7
204,leh,34.17,52.99,41,76,6.24
205,oksfjord,70.24,50.0,87,100,19.46
206,waddan,29.16,70.54,66,0,6.51
207,aklavik,68.22,50.0,57,75,2.24
208,bambous virieux,-20.34,69.8,68,75,11.41
209,onverwacht,5.58,77.0,94,40,8.05
210,naryan-mar,67.67,61.05,69,0,10.56
211,mlonggo,-6.53,75.92,81,71,4.34
212,devils lake,48.11,73.4,56,1,18.34
213,gravdal,68.12,52.02,83,100,12.88
214,esperance,-33.87,57.2,58,90,14.99
215,la paz,-16.5,57.2,11,20,6.93
216,dalvik,65.97,48.2,81,90,9.17
217,waipawa,-41.41,59.0,44,0,5.82
218,tres arroyos,-38.37,47.66,92,100,23.6
219,ribeira grande,38.52,70.47,71,26,3.09
220,road town,18.42,84.2,74,40,10.29
221,sioux lookout,50.1,78.8,39,75,9.17
222,eltham,-39.43,54.0,82,27,8.99
223,steamboat springs,40.48,78.01,22,1,10.31
224,yulara,-25.24,41.0,75,0,6.93
225,dhule,20.9,81.19,78,100,5.61
226,kalabo,-14.97,52.29,45,0,5.46
227,seoul,37.57,71.6,94,75,5.7
228,korla,41.76,71.42,52,79,11.81
229,uyemskiy,64.47,62.6,93,40,8.95
230,torbay,47.67,69.8,56,75,17.22
231,mbini,1.57,75.54,86,14,7.34
232,saint george,37.1,100.99,16,1,10.29
233,muros,42.78,70.0,75,1,11.99
234,maracacume,-2.04,75.94,82,22,1.9
235,vardo,70.37,53.6,87,40,22.1
236,kununurra,-15.77,64.4,34,17,6.93
237,anadyr,64.75,55.4,71,12,11.18
238,trairi,-3.28,76.96,72,12,8.81
239,zhigansk,66.77,61.61,68,21,20.96
240,bago,17.34,78.8,88,40,2.24
241,santarem,-2.44,82.4,78,40,2.24
242,kaka,37.35,79.95,18,0,1.77
243,constitucion,-35.33,49.51,77,17,0.76
244,mendoza,-32.89,44.6,87,75,5.82
245,bang saphan,11.21,76.66,86,44,2.35
246,west bay,19.37,87.8,74,20,5.82
247,innisfail,-17.53,62.01,98,82,5.99
248,lesnoy,57.62,61.9,70,99,7.36
249,vestmannaeyjar,63.44,52.23,82,51,4.94
250,aguimes,27.91,73.4,73,40,27.51
251,bengkulu,-3.8,73.65,88,92,4.05
252,yaan,7.38,73.13,91,93,9.06
253,marsa matruh,31.35,74.84,76,0,10.25
254,oia,40.54,72.0,89,0,0.87
255,hualmay,-11.1,62.76,80,8,8.66
256,kikwit,-5.04,76.86,33,61,1.72
257,zvenigorod,55.73,55.4,82,37,8.95
258,avera,33.19,95.0,41,1,9.17
259,te anau,-45.42,39.22,73,42,3.56
260,lethem,3.38,77.22,85,99,1.34
261,tautira,-17.73,84.2,62,20,8.05
262,jalingo,8.88,74.57,87,76,3.36
263,borogontsy,62.67,60.15,67,72,8.3
264,hambantota,6.12,77.0,100,40,4.7
265,lorengau,-2.02,84.34,74,17,9.13
266,qandala,11.47,88.05,49,24,14.94
267,port hardy,50.7,64.4,68,40,14.99
268,finnsnes,69.23,50.0,87,100,20.8
269,auki,-8.77,83.17,71,93,6.31
270,baykit,61.67,57.6,76,99,2.17
271,banda aceh,5.56,77.86,77,100,7.49
272,port hedland,-20.32,59.0,44,0,6.93
273,broome,42.25,82.4,54,75,12.75
274,wittmund,53.57,55.4,82,75,1.12
275,agirish,61.92,58.17,84,0,5.08
276,emerald,-23.53,57.2,93,90,12.75
277,flinders,-34.58,52.0,90,12,1.99
278,hofn,64.25,50.09,82,96,9.46
279,isangel,-19.55,77.0,65,75,5.82
280,paamiut,61.99,46.71,84,80,8.55
281,balkhash,46.84,70.25,67,0,11.7
282,milkovo,54.72,53.06,73,100,2.26
283,tucuma,-0.18,79.36,78,50,8.16
284,takoradi,4.88,74.75,91,77,7.96
285,knysna,-34.04,50.0,100,0,6.93
286,leningradskiy,69.38,62.24,43,100,6.17
287,carepa,7.76,84.2,79,40,0.74
288,karratha,-20.74,68.22,43,0,7.18
289,akureyri,65.68,48.2,81,90,9.17
290,volksrust,-27.37,38.73,59,0,0.58
291,sinazongwe,-17.26,64.24,55,0,4.99
292,shakawe,-18.37,52.23,44,0,6.58
293,lubao,14.92,82.4,78,40,5.82
294,walldurn,49.58,57.99,57,90,1.01
295,vao,-22.67,67.5,74,98,17.63
296,peterhead,57.51,55.4,93,90,4.7
297,tual,-5.67,79.32,83,49,18.32
298,yamada,39.47,74.05,81,87,3.91
299,sur,22.57,84.13,72,45,18.63
300,gurlan,41.84,87.8,57,56,2.24
301,pontes e lacerda,-15.23,75.27,31,0,1.99
302,vanavara,60.34,54.07,78,57,3.42
303,tambacounda,13.75,84.2,74,20,2.24
304,teluknaga,-6.1,79.0,83,20,2.24
305,labinsk,44.63,64.08,74,19,3.67
306,loukhi,66.08,58.03,94,68,8.14
307,lata,40.16,68.0,93,0,1.7
308,provideniya,64.38,48.2,81,20,8.95
309,talnakh,69.49,50.0,81,0,24.61
310,nelson bay,-32.72,50.0,100,40,11.41
311,baytown,29.74,90.0,70,100,5.99
312,nome,64.5,60.01,76,20,9.17
313,bathsheba,13.22,84.2,66,40,18.34
314,ranong,9.97,78.66,81,100,2.89
315,noshiro,40.2,69.8,100,75,3.36
316,adrar,20.5,97.79,11,21,2.37
317,villarrica,-25.75,71.42,65,99,5.97
318,viloco,-16.95,43.61,77,5,4.21
319,ola,59.58,58.93,68,22,4.81
320,komsomolskiy,40.43,77.0,36,4,9.17
321,tuatapere,-46.13,39.0,83,87,3.0
322,portland,45.52,82.99,53,20,3.42
323,broken hill,-31.95,35.6,93,0,4.7
324,hun,29.13,70.39,65,0,3.31
325,valentin gomez farias,28.22,81.91,36,86,9.44
326,berlevag,70.86,49.95,92,93,12.44
327,porto seguro,-16.45,73.4,60,0,4.7
328,sitka,57.05,60.8,72,75,5.3
329,miraflores,19.22,77.0,29,40,12.75
330,sirsilla,18.38,76.68,88,100,6.87
331,namibe,-15.2,65.84,65,0,2.28
332,fare,-16.7,77.85,74,15,15.95
333,miranda,3.25,75.2,73,75,13.87
334,mandalgovi,45.76,74.43,41,100,11.72
335,kaniama,-7.57,64.83,39,6,4.23
336,westport,41.14,82.0,83,40,4.7
337,gazojak,41.19,85.73,27,39,16.11
338,inuvik,68.35,51.8,62,75,4.7
339,padang,-0.95,73.4,100,40,5.82
340,la ronge,55.1,80.6,47,75,14.99
341,havoysund,71.0,46.4,100,75,21.92
342,nakusp,50.25,86.0,38,5,5.01
343,presidencia roque saenz pena,-26.79,64.31,72,11,11.9
344,fairbanks,64.84,61.0,82,90,5.82
345,galveston,29.37,89.6,70,40,11.41
346,mehamn,71.04,49.08,91,98,10.36
347,nouadhibou,20.93,71.6,88,41,16.11
348,khandyga,62.67,70.52,48,0,2.01
349,starosubkhangulovo,53.1,59.56,93,100,3.33
350,meybod,32.25,82.4,15,0,2.24
351,alofi,-19.06,77.0,88,75,11.41
352,hami,42.8,79.3,30,99,7.87
353,kahului,20.89,91.4,46,20,18.34
354,tomatlan,19.93,87.06,61,79,11.16
355,hasaki,35.73,75.0,100,75,3.36
356,kharp,66.8,47.53,79,0,1.77
357,whitehorse,60.72,61.0,77,75,2.24
358,lasem,-6.69,74.64,83,61,6.4
359,port blair,11.67,77.0,94,75,1.43
360,tazovskiy,67.47,44.92,79,0,14.81
361,george town,5.41,77.0,94,20,5.82
362,narsaq,60.92,66.2,25,63,32.21
363,ejea de los caballeros,42.13,80.6,34,5,2.24
364,corum,40.5,53.94,77,0,4.09
365,kolyvan,55.31,48.2,100,75,4.47
366,husavik,66.04,48.2,81,90,9.17
367,bracebridge,45.03,75.0,88,90,2.24
368,scarborough,54.28,60.01,87,92,3.0
369,kankan,10.39,72.43,95,93,3.29
370,nenjiang,49.18,73.17,71,53,8.25
371,carlagan,14.97,84.22,77,36,5.93
372,mutis,6.23,78.3,85,84,8.3
373,salmo,49.2,79.0,38,0,10.0
374,kostomuksha,64.57,57.83,96,98,6.93
375,asau,46.43,59.0,98,99,1.34
376,mayo,38.89,73.4,94,40,4.7
377,puerto colombia,10.99,84.2,79,75,9.17
378,lac du bonnet,50.25,78.01,50,85,5.01
379,warrington,53.39,60.8,77,75,8.05
380,inyonga,-6.72,63.39,54,3,6.13
381,namatanai,-3.67,83.37,72,68,9.35
382,olinda,-8.01,78.8,69,20,12.75
383,giovinazzo,41.19,75.0,60,0,4.7
384,besancon,47.25,64.0,100,14,3.18
385,la palma,33.85,82.0,53,1,8.05
386,nanortalik,60.14,51.26,67,100,10.63
387,qabaqcol,41.72,72.34,81,99,1.61
388,labuhan,-6.88,75.27,86,49,8.77
389,andenes,69.31,51.8,93,100,14.99
390,nishihara,26.18,84.2,83,75,5.82
391,north bend,43.41,64.0,77,40,19.46
392,scranton,41.41,82.99,61,40,10.29
393,jizan,17.33,89.6,62,11,4.7
394,zeya,53.75,66.36,67,100,4.18
395,chapais,49.78,66.2,72,90,9.17
396,richards bay,-28.78,59.58,84,2,6.58
397,yongan,39.7,65.89,69,57,1.1
398,havre-saint-pierre,50.23,64.4,72,1,24.16
399,olawa,50.95,59.0,76,22,1.12
400,hokitika,-42.72,46.94,73,98,17.74
401,eydhafushi,5.1,81.91,78,62,21.32
402,lluta,-16.01,59.0,28,0,3.36
403,port elizabeth,-33.92,57.2,100,40,4.7
404,staryy nadym,65.61,45.95,81,2,10.78
405,arman,59.7,62.13,59,30,5.06
406,yuanping,38.72,67.28,80,87,0.49
407,dwarka,22.24,83.5,79,62,15.93
408,craigieburn,-37.6,46.4,81,75,2.62
409,beringovskiy,63.05,49.66,77,0,9.62
410,los llanos de aridane,28.66,73.4,73,16,16.11
411,macia,-25.03,55.72,87,0,2.71
412,derzhavinsk,51.1,68.45,62,100,15.77
413,puksoozero,62.59,59.5,97,92,8.66
414,ghorawal,24.77,80.26,80,92,5.64
415,palmer,42.16,82.0,88,90,5.82
416,san pedro,14.35,84.0,83,8,4.7
417,panaba,21.28,83.19,83,72,8.01
418,kuytun,54.34,56.26,88,100,4.36
419,katsuura,35.13,77.0,91,100,1.01
420,shenzhen,22.55,86.0,83,20,6.71
421,shingu,33.73,73.18,92,100,2.19
422,kirakira,-10.45,80.02,83,100,13.91
423,makakilo city,21.35,82.4,74,1,11.41
424,channel-port aux basques,47.57,61.57,79,75,10.38
425,gimli,50.63,78.01,50,62,5.01
426,nizhniy tsasuchey,50.52,71.51,52,100,11.41
427,huntington beach,33.66,75.99,64,20,9.17
428,ishigaki,24.34,84.2,89,75,5.82
429,lavrentiya,65.58,52.32,57,0,5.7
430,inhambane,-23.86,63.55,73,19,8.41
431,voh,-20.97,71.46,59,25,6.24
432,sangar,63.92,61.68,65,74,14.85
433,taguatinga,-12.39,76.14,35,5,6.33
434,kantunilkin,21.09,86.0,74,75,8.05
435,lunenburg,44.38,82.99,84,17,3.96
436,kotelnikovo,47.63,72.12,57,44,8.9
437,saint-pierre,-21.34,66.2,52,20,8.05
438,farmington,36.73,84.99,24,1,5.82
439,umea,63.83,55.4,71,100,16.11
440,boqueirao,-7.5,73.4,69,40,8.05
441,poronaysk,49.22,54.34,86,98,4.07
442,mercedes,-34.65,57.0,96,100,3.44
443,moose factory,51.26,60.8,77,1,6.93
444,sattahip,12.67,77.0,94,75,4.7
445,agua branca,-5.89,78.35,47,38,6.76
446,nouakchott,18.09,82.4,83,20,12.75
447,rocha,-34.48,66.99,95,100,7.45
448,santa cruz,-17.8,80.6,69,40,9.17
449,kashi,39.45,69.8,30,0,2.24
450,dolores,-36.31,56.64,97,100,7.43
451,huarmey,-10.07,62.83,79,0,11.18
452,isla vista,34.41,78.8,68,40,6.93
453,comodoro rivadavia,-45.87,35.6,71,20,2.24
454,salinopolis,-0.61,79.29,83,98,12.37
455,dongsheng,39.82,66.13,68,53,12.35
456,ust-kuyga,70.02,82.29,35,42,9.57
457,samfya,-11.36,55.08,70,39,8.21
458,eatonton,33.33,95.0,39,1,4.7
459,pyaozerskiy,65.83,57.09,93,87,8.75
460,fontanka,46.56,69.8,46,100,4.47
461,keti bandar,24.14,85.06,75,73,18.28
462,mantua,45.17,71.01,92,74,10.0
463,kinsale,51.71,57.99,93,75,9.17
464,berberati,4.26,67.59,91,100,2.42
465,zemio,5.03,68.04,94,100,1.63
466,chicama,-7.84,65.17,70,2,7.2
467,mount gambier,-37.83,44.6,93,90,4.7
468,vostok,46.49,67.66,89,98,0.67
469,kieta,-6.22,83.39,70,84,5.77
470,mandera,3.94,78.3,56,100,21.05
471,carmen,18.63,87.8,70,40,6.93
472,tutoia,-2.76,78.15,75,22,8.59
473,baherden,38.44,88.39,40,2,2.13
474,bud,39.45,84.2,70,40,8.05
475,sao jose da coroa grande,-8.9,74.41,77,8,10.49
476,bairiki,1.33,84.2,74,20,12.75
477,omboue,-1.57,72.68,83,36,6.33
478,pangnirtung,66.15,46.4,100,75,10.29
479,tynda,55.17,58.53,89,98,4.54
480,chauk,20.88,78.46,80,100,15.93
481,chara,56.91,63.0,52,43,0.27
482,behshahr,36.69,78.8,94,75,6.93
483,ibarra,0.35,60.8,72,75,10.29
484,gazanjyk,39.24,81.7,63,17,14.09
485,petrovsk,52.31,59.22,93,36,7.61
486,arukutti,9.87,77.0,100,75,4.38
487,sao filipe,14.9,78.33,85,99,7.23
488,tuburan,6.64,77.0,94,75,1.12
489,lampazos de naranjo,27.02,98.82,26,49,14.27
490,neuquen,-38.95,37.4,93,90,5.82
491,prince rupert,54.32,59.0,87,20,6.93
492,wichian buri,15.66,76.62,87,99,0.74
493,redmond,47.67,68.0,68,90,8.05
494,bandarbeyla,9.49,77.23,76,13,30.56
495,viesca,25.35,93.2,32,75,11.41
496,sarangani,5.4,82.0,79,100,19.13
497,presque isle,46.68,78.8,39,1,9.17
498,zitacuaro,19.44,71.01,78,90,8.01
499,kurilsk,45.23,56.3,94,100,8.39
500,starkville,33.45,93.2,52,1,9.17
501,cabedelo,-6.98,75.2,78,2,9.17
502,la joya,18.67,89.01,42,40,6.93
503,aksu,41.12,71.85,44,44,4.32
504,upata,8.01,75.99,93,97,5.01
505,yetkul,54.82,64.4,68,20,6.71
506,darhan,49.49,66.54,84,89,4.32
507,shimoda,34.67,72.0,89,100,7.67
508,silver city,32.77,80.6,42,75,14.99
509,port hawkesbury,45.62,73.99,53,1,5.82
510,saint-joseph,-21.37,66.2,52,20,8.05
511,ulaangom,49.98,62.83,61,91,7.36
512,hovd,48.01,60.62,69,4,2.19
513,lola,7.8,69.12,95,64,2.84
514,kolpashevo,58.31,46.81,87,83,6.17
515,aswan,24.09,86.88,19,0,13.06
516,odweyne,9.41,72.97,56,87,18.37
517,cap malheureux,-19.98,66.99,65,45,1.99
518,zhezkazgan,47.8,75.13,51,100,10.58
519,coquimbo,-29.95,55.4,71,75,10.29
520,kavaratti,10.57,81.79,81,83,12.08
521,luze,49.89,57.2,82,50,1.12
522,valley station,38.11,81.0,74,90,16.11
523,nanakuli,21.39,82.4,74,1,11.41
524,bumba,2.18,72.05,92,98,0.67
525,longyan,25.11,84.0,70,21,1.66
526,kasganj,27.82,81.25,70,24,2.8
527,svetlyy,54.67,51.8,93,20,6.71
528,nemuro,43.32,59.95,98,100,9.28
529,tadine,-21.55,69.87,70,97,14.97
530,linxia,35.6,65.19,81,100,1.3
531,fomboni,-12.28,75.15,75,57,18.75
532,tura,25.52,73.54,98,100,5.03
533,souillac,-20.52,69.8,68,75,11.41
534,nau,40.15,78.8,50,43,8.95
535,hlotse,-28.87,37.38,61,0,2.3
536,makurdi,7.74,74.97,87,81,6.89
537,mafeteng,-29.82,36.52,72,0,2.13
538,petropavlovsk-kamchatskiy,53.05,60.8,63,42,4.47
539,ponte nova,-20.42,64.17,70,0,1.41
540,lalmohan,22.34,82.02,81,100,9.66
541,tirat karmel,32.76,75.99,86,0,4.16
542,palimbang,6.21,80.85,73,100,3.83
543,ixtapa,20.7,87.8,70,75,13.87
544,salobrena,36.74,75.99,82,1,2.75
545,itaituba,-4.28,82.45,52,6,0.56
546,coos bay,43.37,64.0,77,40,19.46
547,san juan bautista,-14.01,68.0,68,0,4.7
