,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,gat,IL,31.61,34.76,77.0,62,0,2.73
1,hilo,US,19.73,-155.09,84.2,66,40,10.29
2,georgetown,MY,5.41,100.34,77.0,94,20,3.36
3,avarua,CK,-21.21,-159.78,75.2,64,86,10.29
4,mabilao,PH,16.15,120.42,83.35,73,24,3.33
5,taltal,CL,-25.4,-70.48,53.46,59,0,2.91
6,bluff,NZ,-46.6,168.33,50.38,81,100,16.62
7,ushuaia,AR,-54.8,-68.3,32.0,93,90,12.75
8,lubbock,US,33.6,-101.83,93.2,36,40,17.22
9,ahipara,NZ,-35.17,173.17,56.16,58,40,8.19
10,ramban,IN,33.25,75.25,68.05,68,3,2.8
11,torbay,CA,47.67,-52.73,55.99,100,90,10.29
12,saint pete beach,US,27.73,-82.74,84.2,88,90,8.05
13,kovur,IN,14.48,79.98,79.93,78,100,7.23
14,saskylakh,RU,71.92,114.08,46.53,84,100,9.48
15,fernley,US,39.61,-119.25,95.0,12,1,1.99
16,hithadhoo,MV,-0.6,73.08,78.57,82,100,8.63
17,port elizabeth,ZA,-33.92,25.57,48.2,66,0,4.7
18,albany,US,42.6,-73.97,84.99,58,33,2.42
19,lebu,CL,-37.62,-73.65,47.89,78,95,7.2
20,carnarvon,AU,-24.87,113.63,50.0,81,0,8.05
21,hofn,IS,64.25,-15.21,50.09,61,72,9.31
22,methoni,GR,36.82,21.7,82.0,64,0,2.24
23,kaitangata,NZ,-46.28,169.85,51.01,59,82,17.0
24,college,US,64.86,-147.8,62.6,67,90,11.41
25,strezhevoy,RU,60.73,77.59,48.2,87,50,6.71
26,esperance,AU,-33.87,121.9,42.8,100,20,16.11
27,rikitea,PF,-23.12,-134.97,68.23,71,17,15.79
28,dawlatabad,AF,36.41,64.91,76.48,28,0,3.94
29,punta arenas,CL,-53.15,-70.92,37.4,88,40,13.87
30,mantua,IT,45.17,10.78,64.99,91,99,7.92
31,hambantota,LK,6.12,81.12,75.2,100,75,3.36
32,mitu,CO,1.2,-70.17,76.95,79,43,2.08
33,jamestown,US,42.1,-79.24,77.0,73,1,10.29
34,flinders,AU,-34.58,150.86,57.99,87,69,8.99
35,chuy,UY,-33.7,-53.46,47.7,90,100,10.02
36,ust-kuyga,RU,70.02,135.6,79.84,41,10,3.91
37,butaritari,KI,3.07,172.79,82.44,79,20,16.49
38,axim,GH,4.87,-2.24,75.11,87,67,10.38
39,silale,LT,55.49,22.18,56.61,97,98,8.1
40,taoudenni,ML,22.68,-3.98,102.96,10,0,19.39
41,east london,ZA,-33.02,27.91,64.87,27,0,4.81
42,busselton,AU,-33.65,115.33,46.0,78,87,18.34
43,cidreira,BR,-30.18,-50.21,62.87,84,100,9.66
44,verkhoyansk,RU,67.54,133.38,82.26,29,98,3.51
45,sambava,MG,-14.27,50.17,68.72,73,85,18.95
46,tuktoyaktuk,CA,69.45,-133.04,62.6,55,75,4.7
47,hobart,AU,-42.88,147.33,45.0,70,75,6.93
48,souillac,MU,-20.52,57.52,68.0,52,75,17.22
49,puerto ayora,EC,-0.74,-90.35,69.01,92,96,5.99
50,yellowknife,CA,62.46,-114.35,60.8,72,75,4.7
51,plettenberg bay,ZA,-34.05,23.37,66.29,27,0,8.28
52,kainantu,PG,-6.29,145.87,68.32,74,40,5.41
53,naze,JP,28.37,129.48,84.2,88,75,2.24
54,kamaishi,JP,39.27,141.88,69.8,100,75,2.24
55,mar del plata,AR,-38.0,-57.56,42.01,80,75,16.11
56,baghdad,IQ,33.34,44.4,93.2,30,6,6.93
57,mareeba,AU,-17.0,145.43,73.4,69,40,11.41
58,khatanga,RU,71.97,102.5,42.55,85,98,13.15
59,bhakkar,PK,31.63,71.07,94.08,32,0,3.18
60,longyearbyen,SJ,78.22,15.64,51.8,87,0,14.99
61,progreso,MX,21.28,-89.67,93.2,56,75,11.41
62,kuruman,ZA,-27.45,23.43,45.0,55,0,6.53
63,sabla,NG,12.75,4.71,78.31,81,88,7.36
64,sibu,MY,2.3,111.82,75.2,94,40,3.36
65,altoona,US,40.52,-78.39,82.4,61,1,6.93
66,saquena,PE,-4.67,-73.52,74.68,94,82,1.54
67,ancud,CL,-41.87,-73.82,46.0,100,90,13.87
68,vic,ES,41.93,2.25,64.99,85,94,1.12
69,hermanus,ZA,-34.42,19.23,60.01,49,0,1.99
70,zhangye,CN,38.93,100.45,70.52,36,0,2.51
71,kumluca,TR,36.37,30.29,83.82,42,0,2.75
72,saposoa,PE,-6.93,-76.77,76.75,72,69,2.3
73,kilimatinde,TZ,-5.85,34.95,55.08,73,0,2.21
74,binika,IN,21.03,83.8,78.17,81,100,1.21
75,airai,TL,-8.93,125.41,62.91,60,46,4.16
76,upernavik,GL,72.79,-56.15,46.56,79,68,4.45
77,codrington,AU,-38.27,141.97,48.09,77,48,3.13
78,dikson,RU,73.51,80.55,42.21,97,91,12.57
79,port hardy,CA,50.7,-127.42,64.4,63,40,12.75
80,nishihara,JP,26.18,127.76,84.2,89,75,9.17
81,chapais,CA,49.78,-74.85,69.8,68,90,5.82
82,hay river,CA,60.82,-115.8,59.0,72,90,9.17
83,vaini,TO,-21.2,-175.2,75.2,83,75,9.17
84,mataura,NZ,-46.19,168.86,45.75,90,97,5.88
85,merauke,ID,-8.47,140.33,80.58,74,10,16.28
86,coquimbo,CL,-29.95,-71.34,53.6,71,0,6.93
87,am timan,TD,11.03,20.28,74.23,85,8,6.46
88,vao,NC,-22.67,167.48,71.13,81,79,19.15
89,manaure,CO,11.78,-72.44,83.8,69,99,18.95
90,necochea,AR,-38.55,-58.74,39.99,84,94,11.01
91,sinnamary,GF,5.38,-52.95,78.48,87,89,10.22
92,kahului,US,20.89,-156.47,89.6,52,1,28.86
93,bilma,NE,18.69,12.92,84.74,17,10,3.13
94,crossville,US,35.95,-85.03,80.6,69,1,3.78
95,fort saint james,CA,54.43,-124.25,65.7,48,84,4.43
96,lagoa,PT,39.05,-27.98,69.94,79,0,11.12
97,saldanha,ZA,-33.01,17.94,50.0,61,0,1.12
98,yulara,AU,-25.24,130.99,44.6,65,0,13.06
99,zaraza,VE,9.35,-65.32,74.82,96,99,5.28
100,arraial do cabo,BR,-22.97,-42.03,73.4,83,0,14.99
101,clyde river,CA,70.47,-68.59,44.6,87,90,4.7
102,katobu,ID,-4.94,122.53,77.47,72,68,3.47
103,faya,SA,18.39,42.45,66.2,77,100,8.01
104,jinka,ET,5.65,36.65,61.92,93,99,1.16
105,mahebourg,MU,-20.41,57.7,68.0,52,75,17.22
106,ribeira grande,PT,38.52,-28.7,70.07,74,0,7.61
107,beidao,CN,34.57,105.89,67.3,85,100,4.72
108,barrow,US,71.29,-156.79,35.6,80,90,13.87
109,kamina,CD,-8.74,24.99,57.6,46,0,4.05
110,mana,GF,5.66,-53.78,77.7,88,83,8.86
111,stephanskirchen,DE,47.86,12.15,59.0,89,75,3.0
112,jiuquan,CN,39.74,98.52,70.9,37,0,2.86
113,fairbanks,US,64.84,-147.72,62.6,72,75,14.99
114,grindavik,IS,63.84,-22.43,44.6,75,20,20.8
115,jackson,US,42.42,-122.83,91.4,21,1,3.36
116,dauphin,CA,51.15,-100.05,87.8,62,1,6.93
117,padang,ID,-0.95,100.35,77.56,78,99,5.7
118,oskarshamn,SE,57.26,16.45,54.0,92,20,6.87
119,gazojak,TM,41.19,61.4,80.6,23,11,6.53
120,kodiak,US,57.79,-152.41,57.2,87,90,3.36
121,thinadhoo,MV,0.53,72.93,80.73,72,100,2.89
122,palmer,US,42.16,-72.33,81.0,54,75,1.99
123,cootamundra,AU,-34.65,148.03,50.0,72,23,5.01
124,petropavlovsk-kamchatskiy,RU,53.05,158.65,57.2,82,75,2.24
125,bambous virieux,MU,-20.34,57.76,68.0,52,75,17.22
126,svetlaya,RU,46.54,138.33,62.2,74,29,4.07
127,presidencia roque saenz pena,AR,-26.79,-60.44,44.01,89,100,4.74
128,qaanaaq,GL,77.48,-69.36,48.0,54,0,2.01
129,hasaki,JP,35.73,140.83,77.0,94,75,1.12
130,victoria,HK,22.29,114.16,86.0,79,100,8.01
131,kasempa,ZM,-13.46,25.83,51.67,64,0,9.37
132,severo-kurilsk,RU,50.68,156.12,52.9,76,100,5.57
133,pevek,RU,69.7,170.31,45.9,69,92,5.86
134,bathsheba,BB,13.22,-59.52,82.4,78,40,19.46
135,cape town,ZA,-33.93,18.42,50.0,66,0,5.82
136,belen,TR,36.49,36.22,80.6,69,0,9.17
137,ust-karsk,RU,52.7,118.81,77.22,61,90,1.28
138,pisco,PE,-13.7,-76.22,63.0,77,0,23.04
139,bredasdorp,ZA,-34.53,20.04,46.4,87,0,4.7
140,lavrentiya,RU,65.58,-171.0,49.66,68,94,4.32
141,nemuro,JP,43.32,145.57,57.99,86,64,8.41
142,fortuna,US,40.6,-124.16,69.01,72,20,14.99
143,honningsvag,NO,70.98,25.97,57.24,82,5,15.79
144,kapaa,US,22.08,-159.32,84.2,70,40,14.99
145,west plains,US,36.73,-91.85,89.6,52,20,6.93
146,santander,ES,43.46,-3.8,66.99,82,40,4.7
147,coruripe,BR,-10.13,-36.18,72.99,80,34,11.18
148,usinsk,RU,65.99,57.53,54.32,76,27,4.36
149,lamar,US,33.67,-95.58,91.99,55,1,11.41
150,atuona,PF,-9.8,-139.03,78.8,80,23,18.34
151,lock haven,US,41.14,-77.45,84.2,51,1,4.7
152,katsuura,JP,35.13,140.3,80.6,94,75,5.82
153,faanui,PF,-16.48,-151.75,77.72,75,0,19.19
154,kez,RU,57.9,53.72,56.12,98,100,2.06
155,trairi,BR,-3.28,-39.27,77.27,81,5,10.65
156,cascais,PT,38.7,-9.42,66.99,93,0,21.88
157,blackwater,AU,-23.58,148.88,66.81,69,8,3.62
158,anchorage,US,61.22,-149.9,59.0,87,90,9.17
159,boralday,KZ,43.36,76.86,62.6,93,75,4.47
160,vestmannaeyjar,IS,63.44,-20.27,50.2,71,11,1.01
161,hengshui,CN,37.73,115.7,84.67,49,63,4.9
162,maniitsoq,GL,65.42,-52.9,46.56,92,100,4.81
163,mount isa,AU,-20.73,139.5,66.2,45,0,4.7
164,cockburn town,TC,21.46,-71.14,82.4,69,40,17.22
165,new norfolk,AU,-42.78,147.06,44.01,87,100,2.37
166,miedzyrzec podlaski,PL,51.99,22.78,58.6,92,24,7.67
167,cairns,AU,-16.92,145.77,73.4,69,40,11.41
168,northam,GB,51.03,-4.22,63.0,97,99,8.99
169,saint-philippe,RE,-21.36,55.77,64.4,63,90,14.99
170,half moon bay,US,37.46,-122.43,73.99,82,90,6.93
171,sao filipe,CV,14.9,-24.5,76.62,81,25,3.51
172,xining,CN,36.62,101.77,58.87,72,91,2.39
173,barcelona,ES,41.39,2.16,78.8,78,20,2.24
174,shakhtinsk,KZ,49.71,72.59,59.0,82,40,4.47
175,tocopilla,CL,-22.09,-70.2,57.92,60,0,14.5
176,kawalu,ID,-7.38,108.21,70.47,89,94,1.59
177,port alfred,ZA,-33.59,26.89,67.17,26,0,11.21
178,tuatapere,NZ,-46.13,167.68,49.42,80,100,6.31
179,nicoya,CR,10.15,-85.45,84.2,70,72,4.7
180,pavlodar,KZ,52.3,76.95,59.0,100,40,4.47
181,rio grande,BR,-32.03,-52.1,48.99,94,100,5.01
182,pangai,TO,-19.8,-174.35,78.8,83,40,16.11
183,bengkulu,ID,-3.8,102.27,74.43,88,89,4.92
184,bobo dioulasso,BF,11.18,-4.3,75.2,94,99,4.7
185,aripuana,BR,-9.17,-60.63,82.8,49,78,0.98
186,nuevo progreso,MX,23.17,-97.95,93.99,46,32,8.99
187,paracatu,BR,-17.22,-46.87,64.76,56,0,1.39
188,honiara,SB,-9.43,159.95,87.8,70,20,10.29
189,nikolskoye,RU,59.7,30.79,53.6,81,97,6.71
190,mandera,KE,3.94,41.87,76.42,52,41,19.46
191,bethel,US,41.37,-73.41,79.0,69,1,4.7
192,chitungwiza,ZW,-18.01,31.08,43.65,92,18,5.77
193,la concepcion,PA,8.52,-82.62,78.8,88,90,3.36
194,umm lajj,SA,25.02,37.27,85.75,53,12,4.63
195,gilgit,PK,35.92,74.31,76.77,40,28,0.4
196,chokurdakh,RU,70.63,147.92,77.29,43,37,6.67
197,fairlie,GB,55.76,-4.86,57.0,93,99,7.61
198,cayenne,GF,4.93,-52.33,80.6,83,96,5.82
199,ust-koksa,RU,50.27,85.61,58.26,85,100,4.25
200,laramie,US,41.31,-105.59,75.99,27,20,3.36
201,sitka,US,57.05,-135.33,57.2,82,90,6.93
202,jinchang,CN,38.5,102.17,72.46,31,9,4.36
203,general roca,AR,-39.03,-67.58,44.6,56,6,6.93
204,impfondo,CG,1.64,18.07,74.03,73,29,1.61
205,mount gambier,AU,-37.83,140.77,41.0,93,70,4.7
206,leningradskiy,RU,69.38,178.42,49.26,64,98,13.15
207,ahuimanu,US,21.44,-157.84,89.6,62,20,13.87
208,norman wells,CA,65.28,-126.83,71.6,37,20,12.75
209,cherbourg,FR,49.64,-1.61,63.0,93,90,13.87
210,castro,BR,-24.79,-50.01,58.08,75,0,4.0
211,merrill,US,45.18,-89.68,82.4,61,40,8.05
212,jeremie,HT,18.65,-74.12,81.79,74,43,2.8
213,novopokrovka,UA,49.84,36.55,57.2,87,72,2.24
214,skotterud,NO,59.98,12.13,55.4,93,23,4.7
215,haines junction,CA,60.75,-137.51,59.9,50,97,10.87
216,dolores,AR,-36.31,-57.68,41.09,69,1,9.48
217,kamenka,RU,51.32,42.77,55.0,83,3,2.13
218,alofi,NU,-19.06,-169.92,78.8,69,4,18.34
219,byron bay,AU,-28.65,153.62,60.8,93,75,9.17
220,coihaique,CL,-45.58,-72.07,41.0,75,90,4.7
221,ardmore,US,34.17,-97.14,93.0,41,40,10.29
222,kavieng,PG,-2.57,150.8,85.78,70,24,14.14
223,marquette,US,46.53,-87.63,82.99,51,0,5.01
224,nanortalik,GL,60.14,-45.24,45.48,90,100,6.85
225,tasiilaq,GL,65.61,-37.64,42.8,87,87,4.7
226,lorengau,PG,-2.02,147.27,84.34,77,46,11.72
227,gannan,CN,47.91,123.5,86.5,36,26,10.33
228,ayan,RU,56.45,138.17,56.14,65,16,4.7
229,broome,US,42.25,-75.83,79.0,54,1,6.93
230,dingle,PH,11.0,122.67,81.1,79,100,1.34
231,horsham,GB,51.06,-0.33,63.0,88,40,8.05
232,kiama,AU,-34.68,150.87,57.99,86,71,1.99
233,muros,ES,42.78,-9.06,64.99,80,1,1.99
234,ponta do sol,PT,32.67,-17.1,73.4,43,20,21.92
235,gimli,CA,50.63,-96.99,90.0,96,24,8.01
236,morondava,MG,-20.28,44.28,68.61,55,0,13.67
237,houma,US,29.6,-90.72,79.0,88,1,9.17
238,fort nelson,CA,58.81,-122.7,71.6,53,75,6.93
239,husavik,IS,66.04,-17.34,44.6,70,90,8.05
240,carnduff,CA,49.17,-101.8,82.99,64,83,5.01
241,talcahuano,CL,-36.72,-73.12,50.0,71,90,5.82
242,hagere selam,ET,6.48,38.52,50.05,100,97,3.09
243,namibe,AO,-15.2,12.15,65.71,83,0,4.14
244,nioro,GM,13.35,-15.75,79.16,85,49,5.35
245,awbari,LY,26.59,12.78,76.55,21,0,5.5
246,japura,ID,-0.32,102.35,73.24,96,63,3.04
247,ukiah,US,39.15,-123.21,95.0,23,1,12.75
248,omsukchan,RU,62.53,155.8,79.23,29,31,3.58
249,shiyan,CN,32.65,110.78,72.75,83,80,1.07
250,llanes,ES,43.42,-4.75,66.0,98,20,1.99
251,sampit,ID,-2.53,112.95,74.77,85,59,3.91
252,mastic beach,US,40.77,-72.85,75.99,88,90,5.55
253,honolulu,US,21.31,-157.86,89.6,43,40,14.99
254,char bhadrasan,BD,23.32,90.22,80.6,83,75,5.66
255,southend-on-sea,GB,51.54,0.71,63.0,82,100,11.41
256,ourinhos,BR,-22.98,-49.87,63.82,59,0,2.8
257,inhambane,MZ,-23.86,35.38,65.44,77,24,11.34
258,hanzhong,CN,33.07,107.03,72.7,88,98,0.58
259,karaman,TR,37.08,33.25,61.39,43,0,6.26
260,talnakh,RU,69.49,88.4,48.2,81,1,11.18
261,guaruja,BR,-23.99,-46.26,73.99,100,0,2.64
262,tecoanapa,MX,16.52,-98.75,84.99,70,25,7.94
263,margate,GB,51.38,1.39,64.0,84,88,5.99
264,slupsk,PL,54.46,17.03,56.55,94,40,8.9
265,igrim,RU,63.19,64.42,49.41,79,4,5.28
266,lao cai,VN,22.48,103.95,79.61,81,75,0.2
267,ron phibun,TH,8.18,99.85,80.6,94,75,1.54
268,calama,CL,-22.47,-68.93,53.6,20,0,12.75
269,pangnirtung,CA,66.15,-65.71,50.0,76,75,4.7
270,vestmanna,FO,62.16,-7.17,50.0,100,100,10.29
271,samarai,PG,-10.62,150.67,79.48,86,33,14.07
272,simpang,ID,-1.27,104.08,74.07,96,74,3.78
273,jumla,NP,29.27,82.18,61.0,70,71,0.56
274,vardo,NO,70.37,31.11,55.72,88,6,14.63
275,abu kamal,SY,34.45,40.92,82.44,32,0,8.84
276,oksfjord,NO,70.24,22.35,62.6,77,90,5.82
277,buala,SB,-8.14,159.59,85.17,72,78,11.86
278,vidim,RU,56.41,103.11,58.23,62,0,4.16
279,nawa,IN,27.02,75.0,79.56,76,34,1.07
280,gladstone,AU,-23.85,151.25,66.2,72,90,5.82
281,oistins,BB,13.07,-59.53,82.4,78,40,19.46
282,egvekinot,RU,66.32,-179.17,52.41,62,85,5.55
